,signal,path,mfcc,mfcc_mean,zcr,sc,rms,melspectrogram
0,2,F:\RMS Samples\S2\A17BA_12055_1333_27_08_2017.MP3,[-1.19005562e+02  2.06678009e+02 -1.05538704e+02  4.48204079e+01 1.11865625e+01 -1.92529087e+01  1.06882820e+01 -6.18736935e+00 6.10216188e+00 -1.00257215e+01 2.39508319e+00  4.69961548e+00 -1.31886606e+01  7.41868591e+00 -1.52671719e+00 -3.83753300e+00 3.93492627e+00 -7.81431973e-01  2.34639859e+00 -4.07584858e+00 1.93202055e+00  6.45269215e-01 -4.63217640e+00  4.33690834e+00 -2.32549834e+00 -6.85804307e-01  2.59325719e+00 -1.35948873e+00 1.12610710e+00 -1.97841501e+00 2.35813826e-01 -8.02883685e-01 -2.83340859e+00  6.75041020e-01 -3.37705207e+00 -1.74651301e+00 -1.44945669e+00 -2.96129656e+00  2.03646086e-02 -2.03996587e+00],0.05556192249,0.1149282215,1463.040193,0.1451568455,4.540862083
1,2,F:\RMS Samples\S2\A17BA_12055_1336_27_08_2017.MP3,"[-1.1469097e+02  2.1500935e+02 -1.1449629e+02  4.9527676e+01
  9.3154840e+00 -1.9206678e+01  1.1983718e+01 -8.5214376e+00
  8.6188974e+00 -1.0890959e+01  5.7270837e-01  5.9147525e+00
 -1.3107455e+01  7.7478476e+00 -1.7761862e+00 -2.9357328e+00
  4.3633304e+00 -2.1678770e+00  2.7836373e+00 -4.3461537e+00
  1.4387857e+00  9.2462170e-01 -5.2273936e+00  3.8505909e+00
 -2.2911551e+00 -1.2515810e-01  1.8591126e+00 -2.2373650e+00
  1.7675447e+00 -1.5231973e+00  8.3124447e-01  1.7811665e-01
 -1.5109183e+00  1.6352978e+00 -2.6037316e+00 -1.1576887e-01
 -7.8922659e-01 -2.9496646e+00  4.7315314e-01 -1.8948734e+00]",0.3846921325,0.1192501251,1484.006563,0.147916019,4.452103138
2,2,F:\RMS Samples\S2\A17BA_12055_1341_27_08_2017.MP3,"[-1.22675224e+02  2.07198257e+02 -1.02659149e+02  4.14122124e+01
  1.44982357e+01 -1.43310394e+01  1.01754513e+01 -3.69909668e+00
  6.07530260e+00 -1.24458284e+01  3.13095188e+00  4.69864893e+00
 -1.26937809e+01  7.30607796e+00 -2.82569861e+00 -3.55942678e+00
  3.51402426e+00 -4.21774864e-01  3.55870843e+00 -4.11412477e+00
  2.32710481e+00  4.31149215e-01 -4.54646969e+00  4.90690088e+00
 -2.40769362e+00 -1.11644611e-01  2.46410394e+00 -1.18420410e+00
  2.13400316e+00 -1.07807028e+00  1.80384874e+00  6.63114309e-01
 -1.25153816e+00  1.30031419e+00 -3.04196143e+00 -2.23698039e-02
 -8.60026419e-01 -2.82664227e+00  3.94760996e-01 -2.65060210e+00]",0.4646698833,0.109778168,1413.981019,0.134147346,3.892156363
3,2,F:\RMS Samples\S2\A17BA_12055_1346_27_08_2017.MP3,"[-1.1597163e+02  2.1474585e+02 -1.1746875e+02  4.7138653e+01
  1.0374514e+01 -1.9064291e+01  1.2268869e+01 -8.2591267e+00
  7.5070863e+00 -1.0974122e+01  1.0408566e+00  5.4449477e+00
 -1.3331367e+01  7.9850845e+00 -2.8042426e+00 -4.7214313e+00
  3.1612518e+00 -3.4230750e+00  2.3182483e+00 -3.4748933e+00
  1.5232058e+00  4.5948011e-01 -4.6067548e+00  4.7507586e+00
 -2.5919232e+00 -2.9346946e-01  2.2971807e+00 -2.7849696e+00
  2.1860602e+00 -2.8012663e-01  9.7479606e-01  6.3623291e-01
 -5.9143734e-01  2.1125312e+00 -2.3167536e+00  7.4474984e-01
 -1.0634094e-01 -2.7304170e+00  1.1713151e+00 -1.8925740e+00]",0.2788491845,0.119022764,1495.144218,0.1475176513,4.409815788
4,2,F:\RMS Samples\S2\A17BA_12055_1351_27_08_2017.MP3,"[-1.04732437e+02  2.15139145e+02 -1.20868294e+02  5.04939041e+01
  9.81066513e+00 -1.97977448e+01  1.57272215e+01 -1.03040771e+01
  8.66315651e+00 -8.10882664e+00 -7.64821112e-01  8.16393089e+00
 -1.18697548e+01  7.23428679e+00 -8.58256817e-01 -3.77552462e+00
  4.52823114e+00 -3.15274382e+00  2.21671987e+00 -4.02507210e+00
 -4.58782822e-01  1.36982918e+00 -4.96895742e+00  3.20758939e+00
 -2.85634303e+00 -2.01576972e+00  9.99826968e-01 -4.29782248e+00
  5.84249914e-01 -2.37413740e+00 -1.91419446e+00 -7.94062436e-01
 -3.11487770e+00  1.24237940e-01 -3.68140912e+00 -1.39495552e+00
 -2.30649754e-01 -3.05534840e+00  1.25996566e+00 -7.70467699e-01]",0.233440876,0.1258838226,1538.705541,0.1541443169,4.562316418
5,3,F:\RMS Samples\S3\A17DL_09410_1301_01_08_2017.MP3,"[ -88.35755     205.76666    -122.11438      63.166935      3.8160057
  -20.943266     25.921795    -15.377995      8.919217     -3.6756938
   -5.0607467     8.943553    -12.418201      8.288357      2.9972234
   -7.6388183     1.9690137    -5.103633      0.9922684    -3.4190302
   -3.208447      2.2489696    -5.998304     -0.37377802   -1.8556796
   -3.0664892     1.4017613    -2.200892      0.37146968   -1.7472103
   -2.249624     -0.93309635   -3.9153662    -0.25875747   -1.5655012
   -2.0755823    -1.2241237    -4.418957     -1.2777569    -1.0179633 ]",0.3326601088,0.1279609733,1637.023996,0.1856326908,6.714188576
6,1,F:\RMS Samples\S1\A17DL_09410_1301_14_08_2017.MP3,"[-3.04291046e+02  1.93432800e+02 -1.37064728e+02  8.74983063e+01
 -3.76273041e+01  4.89771509e+00  1.40472145e+01 -2.41605148e+01
  2.53769264e+01 -2.12388325e+01  1.26893902e+01 -1.41718876e+00
 -7.86451912e+00  1.37649755e+01 -1.45894279e+01  1.14086962e+01
 -5.67572355e+00 -1.48294771e+00  6.85881710e+00 -9.63594818e+00
  9.22891235e+00 -6.44447374e+00  1.85110009e+00  2.28062487e+00
 -5.54930544e+00  6.63971806e+00 -5.81719923e+00  3.75978136e+00
 -5.89724898e-01 -2.47856832e+00  3.96500325e+00 -4.82134628e+00
  3.94389081e+00 -2.33930993e+00  1.40249074e-01  2.13914394e+00
 -3.12275839e+00  3.78783631e+00 -2.52838516e+00  1.48994601e+00]",-4.738455296,0.1613175978,1982.766952,0.01550683007,0.03756216541
7,3,F:\RMS Samples\S3\A17DL_09410_1306_01_08_2017.MP3,"[ -89.0571      212.90747    -127.554276     65.35095       1.2338542
  -22.025574     27.654953    -16.12218       9.917487     -4.0204053
   -5.547228     10.146591    -12.922914      7.0329466     1.9962996
   -7.3525977     2.9021108    -5.08487       1.3872815    -3.0377982
   -2.4253104     3.1591308    -5.982387      0.5552701    -0.6883552
   -2.3741703     1.9933795    -2.266361      0.4746822    -1.4682198
   -2.0637612    -0.5476085    -3.7291777    -0.2241372    -1.7662046
   -2.3405607    -0.7188744    -3.3537946    -0.66734856   -1.0832032 ]",0.5571998358,0.1337384343,1650.226085,0.1779163182,5.964167595
8,1,F:\RMS Samples\S1\A17DL_09410_1306_14_08_2017.MP3,"[-2.9724606e+02  1.8663786e+02 -1.3065901e+02  8.2795639e+01
 -3.4202194e+01  3.6926448e+00  1.4526105e+01 -2.2479538e+01
  2.3881197e+01 -1.9701221e+01  1.1086490e+01 -8.1983227e-01
 -7.0076456e+00  1.3634305e+01 -1.3684671e+01  1.0814568e+01
 -4.1022182e+00 -1.4832430e+00  6.9559302e+00 -8.7446432e+00
  9.0333605e+00 -5.1273470e+00  1.8403430e+00  2.9730244e+00
 -4.8124595e+00  7.1750469e+00 -4.5474005e+00  3.1001701e+00
 -2.5753695e-01 -2.0217216e+00  4.5006509e+00 -4.0957341e+00
  3.9598465e+00 -1.2528567e+00  1.2641491e-01  2.4132879e+00
 -2.4751842e+00  3.7472849e+00 -2.3228862e+00  1.4301099e+00]",-4.317978859,0.1543013649,1960.689902,0.01656024903,0.04043218493
9,3,F:\RMS Samples\S3\A17DL_09410_1311_01_08_2017.MP3,"[ -88.86368     213.73126    -125.29738      59.6258        3.6356008
  -22.713476     24.117111    -15.922053      7.336675     -4.390008
   -5.9555197     7.0716267   -12.464051      9.1039295     3.2010305
   -7.2163043     3.0525181    -3.9474719     1.0548421    -3.4971218
   -1.7770847     3.160921     -5.3289943     1.1763706    -1.269834
   -1.8357277     3.4595838    -1.252458      1.1200849    -0.65864843
   -1.2154539    -0.8845458    -3.6912274     1.1262395    -1.0087289
   -1.5807968    -0.5037531    -3.7186615     0.42314848   -0.5273149 ]",0.6719110012,0.1292246943,1596.488236,0.1840575337,6.515393734
